"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";"B.Cu (mm)";
001;"GND";16;7;10.8150;51.6775;0.0000;62.4925;51.6775;0.0000;0.0000;0.0000;
002;"VCC";12;0;0.0000;134.6626;0.0000;134.6626;134.6626;0.0000;0.0000;0.0000;
003;"/D2";4;3;2.9550;53.4608;0.0000;56.4158;16.6270;19.7758;17.0580;0.0000;
004;"/D1";4;3;2.9550;55.8959;0.0000;58.8509;17.7764;20.1144;18.0051;0.0000;
005;"/A14";4;4;4.3650;99.7862;0.0000;104.1512;13.5033;44.5184;41.7645;0.0000;
006;"/D0";4;3;2.9550;53.8250;0.0000;56.7800;16.3816;20.3295;17.1139;0.0000;
007;"/A13";4;4;3.0900;106.4675;0.0000;109.5575;14.3991;74.9579;17.1106;0.0000;
008;"/A0";4;3;2.9550;65.6960;0.0000;68.6510;19.1505;28.4713;18.0742;0.0000;
009;"/A8";4;4;3.0900;95.7026;0.0000;98.7926;18.8896;65.4914;11.3216;0.0000;
010;"/A1";4;3;2.9550;54.8601;0.0000;57.8151;17.3188;20.4307;17.1106;0.0000;
011;"/A9";4;4;3.0900;96.0724;0.0000;99.1624;12.3012;66.6606;17.1106;0.0000;
012;"/A2";4;3;2.9550;58.9558;0.0000;61.9108;20.0816;21.7196;17.1546;0.0000;
013;"/A11";4;4;3.0900;98.6721;0.0000;101.7621;12.9831;67.6894;17.9996;0.0000;
014;"/A3";4;3;2.9550;62.1244;0.0000;65.0794;19.1558;25.8580;17.1106;0.0000;
015;"/A4";4;3;2.9550;63.4782;0.0000;66.4332;19.8579;26.4711;17.1492;0.0000;
016;"/A10";4;4;4.3650;89.5694;0.0000;93.9344;12.0866;33.2117;44.2711;0.0000;
017;"/A5";4;3;2.9550;66.9106;0.0000;69.8656;19.1446;30.6554;17.1106;0.0000;
018;"/A6";4;3;2.9550;68.0468;0.0000;71.0018;19.5983;31.2634;17.1852;0.0000;
019;"/D7";4;4;5.6400;74.5481;0.0000;80.1881;10.5045;34.1631;29.8805;0.0000;
020;"/A7";4;3;2.9550;71.7241;0.0000;74.6791;18.9155;35.6979;17.1106;0.0000;
021;"/D6";4;4;5.6400;66.6427;0.0000;72.2827;9.6155;30.9053;26.1219;0.0000;
022;"/A12";4;3;2.9550;94.1808;0.0000;97.1358;25.9054;42.9422;25.3332;0.0000;
023;"/D5";4;3;2.9550;64.6448;0.0000;67.5998;18.6570;27.9575;18.0303;0.0000;
024;"/A15";4;4;4.3650;94.5219;0.0000;98.8869;12.0079;47.8811;34.6329;0.0000;
025;"/D4";4;3;2.9550;58.5606;0.0000;61.5156;16.6644;24.7555;17.1407;0.0000;
026;"/A16";4;3;2.9550;96.7814;0.0000;99.7364;21.3674;55.7629;19.6511;0.0000;
027;"/D3";4;3;2.8200;53.6794;0.0000;56.4994;14.5542;21.7262;17.3990;0.0000;
028;"/WEL";4;4;3.0900;101.0529;0.0000;104.1429;12.0998;71.1332;17.8198;0.0000;
029;"/ROE";4;3;2.9550;61.9989;0.0000;64.9539;18.2662;26.6220;17.1106;0.0000;
030;"Net-(D1-K)";2;0;0.0000;26.6658;0.0000;26.6658;26.6658;0.0000;0.0000;0.0000;
031;"Net-(D1-A)";2;0;0.0000;4.0204;0.0000;4.0204;4.0204;0.0000;0.0000;0.0000;
055;"/A17";4;3;2.9550;83.3580;0.0000;86.3130;19.4665;46.7502;17.1413;0.0000;
056;"/A19";3;2;0.2700;43.6073;0.0000;43.8773;31.7275;11.8799;0.0000;0.0000;
057;"/A18";4;4;3.0900;98.1718;0.0000;101.2618;28.5442;53.8796;15.7480;0.0000;
058;"/~{SE1}";5;3;4.2300;55.4477;0.0000;59.6777;31.6331;0.0000;23.8145;0.0000;
076;"Net-(JP1-A)";4;2;0.2700;31.1228;0.0000;31.3928;14.7173;16.4055;0.0000;0.0000;
077;"Net-(U3-CE#)";2;3;2.8200;42.5777;0.0000;45.3977;4.1585;23.8266;14.5927;0.0000;
